Wall time,Step,Value
1717036429.478303,972000,-13897.4736328125
1717036581.714793,982000,-14263.052734375
1717036733.1381416,992000,-14201.10546875
1717036884.7890508,1002000,-14049.2109375
1717037048.0941992,1012000,-13888.10546875
1717037200.3810303,1022000,-13925.263671875
1717037351.759583,1032000,-13949.8427734375
1717037502.8421435,1042000,-13795.1572265625
1717037653.9126792,1052000,-14148.2626953125
1717037813.3024979,1062000,-13893.947265625
1717037964.662592,1072000,-14217.4736328125
1717038116.071403,1082000,-14198.421875
1717038267.9331026,1092000,-13905.10546875
1717038419.2845376,1102000,-13993.3154296875
1717038578.4114866,1112000,-14292.052734375
1717038729.421142,1122000,-14156.841796875
1717038880.1649146,1132000,-13885.2109375
1717039031.203617,1142000,-14020.158203125
1717039181.6704972,1152000,-14357.6845703125
1717039341.194405,1162000,-14075.630859375
1717039491.9143567,1172000,-14002.89453125
1717039643.430873,1182000,-13791.89453125
1717039808.5879083,1192000,-13918.4736328125
1717039961.5215294,1202000,-14140.6845703125
1717040122.39233,1212000,-13729.947265625
1717040273.7250967,1222000,-14170.1572265625
1717040425.1837788,1232000,-14213.0
1717040576.4881582,1242000,-14244.10546875
1717040729.8659298,1252000,-14189.0
1717040889.152085,1262000,-14066.841796875
1717041039.9672885,1272000,-14175.841796875
1717041193.558592,1282000,-14343.736328125
1717041343.829408,1292000,-13836.947265625
1717041494.98558,1302000,-14213.052734375
1717041654.0425024,1312000,-13845.4208984375
1717041806.4126346,1322000,-13908.7900390625
1717041983.149028,1332000,-13767.7900390625
1717042151.1667283,1342000,-13942.052734375
1717042327.6042378,1352000,-13803.10546875
1717042531.5119221,1362000,-13919.7890625
1717042719.9270804,1372000,-13755.052734375
1717042918.7849343,1382000,-13641.0
1717043072.5122285,1392000,-13938.0
1717043240.8574033,1402000,-13645.4736328125
1717043433.2319906,1412000,-13774.68359375
1717043596.9399185,1422000,-13744.2099609375
1717043773.003838,1432000,-13524.5791015625
1717043953.177685,1442000,-13735.6318359375
1717044130.785208,1452000,-13695.5263671875
